[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.DicedBellPepper: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.DicedCarrots: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.DicedBroccoli: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.DicedTomato: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BreadSlices_Curry: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BowlofRiceJapaneseCurry: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.TenderizedMeat: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BreadCrumbs: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BreadedTenderizedMeat: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.Schnitzel: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.WildGarlicBreadUn: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.WildGarlicBreadCooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.WildGarlicBreadPiece: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.SaucepanwithJapaneseCurry: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.SaucepanwithJapaneseCurryCooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.SaucepanwithBorscht: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BowlofJapaneseCurry: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BowlofBorscht: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BowlofMashedPotatoes_Meatballs: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.FryingPan_BaconandEggs: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.Plate_BaconandEggs: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.PlateBlue_BaconandEggs: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.PlateOrange_BaconandEggs: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.PlateFancy_BaconandEggs: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.RiceBeanBowl: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.BakingTray_CremeBrulee: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.BakingTray_CaramelPudding: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.BakingTray_ChocolatePudding: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.ChocolatePuddingBowl: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.CaramelPuddingBowl: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.CremeBruleeBowl: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.SaucepanwithChickenStroganoff: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.BowlofChickenStroganoff: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.BowlofRiceChickenStroganoff: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.BakingTray_Ladyfingers: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.Ladyfingers: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.TiramisuPan: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.TiramisuPiece: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.PoutineBowl: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.ChurrosDough: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.ChurrosPlain: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.ChurrosChocolate: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.Plate_HuevosRancheros: DisplayCategory, FoodP.
[11-03-23 23:57:04.880] LOG  : General     , 1678579024880> 0> SapphCooking.PlateBlue_HuevosRancheros: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.PlateOrange_HuevosRancheros: DisplayCategory, FoodP.
